Source,Target,Weight
1,2,1.2466e+05
1,3,37099
1,4,27912
1,5,26149
1,6,30707
1,7,34860
1,8,24810
1,9,34098
1,11,31587
1,12,31302
1,13,33243
1,14,29524
1,18,34767
1,20,1.8088e+05
1,22,27860
1,32,27544
2,1,1.4025e+05
2,3,39085
2,4,32539
2,8,29326
2,14,26670
2,16,29556
2,18,36968
2,19,29974
2,20,4.5095e+05
2,21,37172
2,22,33703
2,23,38637
2,27,33443
2,29,28376
2,31,33058
2,33,29732
2,34,1.3852e+05
3,1,27568
3,2,29817
3,4,24402
3,8,31801
3,9,32698
3,10,33094
3,14,28059
3,28,32617
3,29,33861
3,33,32248
4,1,38294
4,2,36483
4,3,36505
4,8,32159
4,13,33267
4,14,33366
5,1,27590
5,7,33576
5,11,28548
5,36,39635
6,1,31228
6,7,27488
6,11,34436
6,17,31473
7,1,33761
7,5,31366
7,6,26452
7,17,36470
8,1,40608
8,2,37574
8,3,32102
8,4,38507
8,36,34832
9,1,35740
9,3,35427
9,31,30704
9,33,37395
9,34,25616
9,36,31912
10,3,29773
10,34,31604
11,1,38881
11,5,31558
11,6,36312
12,1,33598
12,36,37602
13,1,25705
13,4,36694
14,1,32665
14,2,25390
14,3,33885
14,4,32134
14,34,36332
14,36,28230
15,33,31836
15,34,30794
16,2,28465
16,33,32038
16,34,38372
17,6,29710
17,7,27828
18,1,36611
18,2,31454
19,2,34608
19,33,27997
19,34,28595
19,35,35121
20,1,2.3938e+05
20,2,4.3191e+05
20,34,2.2339e+05
21,2,32974
21,33,30231
21,34,30066
21,35,28236
22,1,27994
22,2,38901
22,36,29650
23,2,31459
23,33,27880
23,34,33703
24,26,37745
24,28,34612
24,30,31750
24,33,27711
24,34,31640
24,35,29493
25,26,30525
25,28,29153
25,32,29181
25,35,26598
26,24,29318
26,25,33436
26,32,29028
27,2,33820
27,30,31243
27,34,32323
28,3,34538
28,24,27824
28,25,27377
28,34,30150
29,2,35077
29,3,29737
29,32,41073
29,34,33815
30,24,36115
30,27,27178
30,33,28233
30,34,37589
31,2,28818
31,9,27515
31,33,27857
31,34,33770
32,1,30808
32,25,27178
32,26,32936
32,29,28076
32,33,34522
32,34,26222
33,2,31365
33,3,35030
33,9,34198
33,15,30522
33,16,38033
33,19,38231
33,21,35661
33,23,33943
33,24,36896
33,30,38174
33,31,34649
33,32,29958
33,34,33371
34,2,1.3211e+05
34,9,36284
34,10,30005
34,14,39537
34,15,30616
34,16,35153
34,19,25449
34,20,1.6789e+05
34,21,29908
34,23,26361
34,24,34975
34,27,32659
34,28,28626
34,29,31938
34,30,37770
34,31,29942
34,32,39727
34,33,34845
35,19,26582
35,21,28623
35,24,28718
35,25,29392
36,5,35531
36,8,38599
36,9,28605
36,12,33393
36,14,27607
36,22,26517
