Solution 1
A	7 1 9 6 8 2 3 5 4
B	4 8 6 3 5 1 9 2 7
C	2 5 3 9 7 4 8 1 6
D	8 4 7 1 2 9 5 6 3
E	9 3 1 4 6 5 2 7 8
F	5 6 2 7 3 8 4 9 1
G	3 2 5 8 1 6 7 4 9
H	1 9 8 2 4 7 6 3 5
I	6 7 4 5 9 3 1 8 2
Solution 2
A	7 5 9 6 8 1 3 2 4
B	4 8 6 3 5 2 9 1 7
C	2 1 3 9 7 4 8 5 6
D	8 4 7 1 2 9 5 6 3
E	9 3 1 4 6 5 2 7 8
F	5 6 2 7 3 8 4 9 1
G	3 2 5 8 1 6 7 4 9
H	1 9 8 2 4 7 6 3 5
I	6 7 4 5 9 3 1 8 2
Solution 3
A	7 5 9 6 8 1 3 2 4
B	4 8 6 3 5 2 9 1 7
C	2 3 1 9 7 4 8 5 6
D	8 4 7 1 2 9 5 6 3
E	9 1 3 4 6 5 2 7 8
F	5 6 2 7 3 8 4 9 1
G	3 2 5 8 1 6 7 4 9
H	1 9 8 2 4 7 6 3 5
I	6 7 4 5 9 3 1 8 2
Solution 4
A	7 5 9 6 8 2 3 1 4
B	4 8 6 3 5 1 9 2 7
C	2 1 3 9 7 4 8 5 6
D	8 4 7 1 2 9 5 6 3
E	9 3 1 4 6 5 2 7 8
F	5 6 2 7 3 8 4 9 1
G	3 2 5 8 1 6 7 4 9
H	1 9 8 2 4 7 6 3 5
I	6 7 4 5 9 3 1 8 2
Solution 5
A	7 5 9 6 8 2 3 1 4
B	4 8 6 3 5 1 9 2 7
C	2 3 1 9 7 4 8 5 6
D	8 4 7 1 2 9 5 6 3
E	9 1 3 4 6 5 2 7 8
F	5 6 2 7 3 8 4 9 1
G	3 2 5 8 1 6 7 4 9
H	1 9 8 2 4 7 6 3 5
I	6 7 4 5 9 3 1 8 2
Solution 6
A	7 5 9 6 8 2 3 4 1
B	4 8 6 3 5 1 9 2 7
C	2 1 3 9 7 4 8 5 6
D	8 4 7 1 2 9 5 6 3
E	9 3 2 4 6 5 7 1 8
F	5 6 1 7 3 8 2 9 4
G	3 2 5 8 1 6 4 7 9
H	1 9 8 2 4 7 6 3 5
I	6 7 4 5 9 3 1 8 2
Solution 7
A	7 5 9 8 1 6 3 2 4
B	4 8 6 3 5 2 9 1 7
C	2 1 3 9 7 4 8 5 6
D	8 4 7 1 2 9 5 6 3
E	9 3 1 4 6 5 2 7 8
F	5 6 2 7 3 8 4 9 1
G	3 2 5 6 8 1 7 4 9
H	1 9 8 2 4 7 6 3 5
I	6 7 4 5 9 3 1 8 2
Solution 8
A	7 5 9 8 1 6 3 2 4
B	4 8 6 3 5 2 9 1 7
C	2 3 1 9 7 4 8 5 6
D	8 4 7 1 2 9 5 6 3
E	9 1 3 4 6 5 2 7 8
F	5 6 2 7 3 8 4 9 1
G	3 2 5 6 8 1 7 4 9
H	1 9 8 2 4 7 6 3 5
I	6 7 4 5 9 3 1 8 2
